,index,run,precision,recall,f1,seg_id,num_endpoints,endpoints,invalidation_d,num_humfrey_iters,decimation_factor,comments,proposed_endpoints
0,0,1,1.0,1.0,1.0,864691135909994000,2,"[[402584 228856  23991]
 [402985 229235  23554]]",5600,125,0.5,good,"[[402990 229222  23552]
 [402567 228758  23991]]"
1,1,1,1.0,1.0,1.0,864691135247440303,3,"[[401612 224623  23991]
 [405257 226318  23620]
 [409162 219642  23891]]",5600,125,0.5,good,"[[401506 224664  23990]
 [409143 219355  23868]
 [405021 226754  23620]]"
2,2,1,1.0,1.0,1.0,864691135314714227,2,"[[397867 232230  23999]
 [397854 232252  23997]]",5600,125,0.5,good,"[[397931 232013  24000]
 [397815 232393  23996]]"
3,3,1,1.0,1.0,1.0,864691135552841025,2,"[[403332 227545  24398]
 [403566 227614  24425]]",5600,125,0.5,good,"[[403709 227788  24419]
 [403094 227479  24424]]"
4,4,1,0.5,0.5,0.5,864691135516937065,2,"[[ 77262 113088  20442]
 [ 79178 109116  20402]]",5600,125,0.5,good,"[[ 77219 113151  20441]
 [ 79748 109356  20411]]"
5,5,1,0.0,0.0,,864691134406233920,2,"[[100475 143982  21654]
 [100583 144194  21702]]",5600,125,0.5,good,"[[100979 144058  21663]
 [100780 144830  21653]]"
6,6,1,1.0,1.0,1.0,864691134330810585,2,"[[ 71898 146194  20442]
 [ 71499 146291  20404]]",5600,125,0.5,good,"[[ 71395 146316  20403]
 [ 71940 146124  20442]]"
7,7,1,0.6666666666666666,0.4,0.5,864691135337564242,5,"[[ 78610 145071  20707]
 [ 75884 143590  20453]
 [ 78226 151636  19714]
 [ 66549 151567  19790]
 [ 78090 150130  20388]]",5600,125,0.5,good,"[[ 77534 146657  20452]
 [ 78650 144989  20707]
 [ 75803 143440  20452]]"
8,8,1,0.3333333333333333,0.5,0.4,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",5600,125,0.5,good,"[[ 77634 100654  21244]
 [ 77302 107840  21215]
 [ 76778  99747  21202]]"
9,9,1,0.5,0.3333333333333333,0.4,864691135730780609,3,"[[ 79785 135709  21133]
 [ 84176 127514  21582]
 [ 80523 134733  21498]]",5600,125,0.5,good,"[[ 81329 134587  21452]
 [ 84330 127313  21582]]"
10,10,1,0.5,0.5,0.5,864691135651129491,2,"[[ 81198 106660  21133]
 [ 88864  99498  20482]]",5600,125,0.5,good,"[[ 88840  99473  20480]
 [ 80883 106247  21181]]"
11,11,1,0.0,0.0,0.0,864691133692934758,2,"[[ 77826 139204  21137]
 [ 77790 139215  21140]]",5600,125,0.5,good,
12,12,1,1.0,1.0,1.0,864691133097965890,2,"[[ 79165 133413  20708]
 [ 79077 133479  20677]]",5600,125,0.5,good,"[[ 79163 133437  20707]
 [ 79031 133454  20675]]"
13,13,1,0.0,0.0,,864691134918217423,2,"[[ 75409 116393  21135]
 [ 74841 116076  21217]]",5600,125,0.5,good,"[[ 74979 116567  21178]
 [ 75844 115967  21151]]"
14,14,1,0.0,0.0,0.0,864691133712131152,2,"[[ 84508 142994  20724]
 [ 84551 142973  20722]]",5600,125,0.5,good,
15,15,1,1.0,1.0,1.0,864691135559405139,2,"[[212020 200330  23231]
 [212535 200478  23228]]",5600,125,0.5,good,"[[212312 200476  23226]
 [212056 200330  23230]]"
16,16,1,0.3333333333333333,0.5,0.4,864691135537360703,2,"[[167695 211664  20725]
 [145921 225039  22976]]",5600,125,0.5,good,"[[166663 211491  20783]
 [145741 225131  22966]
 [152766 222078  22418]]"
17,17,1,0.3333333333333333,0.5,0.4,864691134472630080,2,"[[351150 143681  15176]
 [348147 144970  14850]]",5600,125,0.5,good,"[[348760 144403  14940]
 [348706 145209  14893]
 [351103 143484  15147]]"
18,18,1,0.0,0.0,0.0,864691133678427777,2,"[[344600 142349  16939]
 [344592 142335  16937]]",5600,125,0.5,good,
19,19,1,1.0,1.0,1.0,864691133922173572,2,"[[365649 143596  17209]
 [365939 143556  17266]]",5600,125,0.5,good,"[[366021 143550  17266]
 [365770 143569  17209]]"
20,20,1,1.0,1.0,1.0,864691134865499607,2,"[[366719 138890  16417]
 [367885 138975  16518]]",5600,125,0.5,good,"[[366625 138909  16416]
 [368153 139331  16507]]"
21,21,1,0.5,0.5,0.5,864691134742288112,2,"[[353411 147608  15177]
 [352169 149000  14848]]",5600,125,0.5,good,"[[353871 147292  15173]
 [352095 148773  14850]]"
22,22,1,0.5,0.3333333333333333,0.4,864691135105077237,3,"[[366292 145971  16282]
 [365559 146710  16237]
 [366729 146323  16252]]",5600,125,0.5,good,"[[365942 146919  16264]
 [366875 146432  16252]]"
23,23,1,0.0,0.0,0.0,864691133766052845,2,"[[364450 138585  16225]
 [364459 138583  16224]]",5600,125,0.5,good,
24,24,1,0.5,0.5,0.5,864691135106856437,2,"[[368040 143694  16594]
 [369126 143559  16661]]",5600,125,0.5,good,"[[369882 143414  16636]
 [367727 143734  16595]]"
25,25,1,0.3333333333333333,0.5,0.4,864691135701215880,2,"[[101795 247367  19549]
 [ 97049 240061  20592]]",5600,125,0.5,good,"[[ 99210 244453  20072]
 [ 96724 239721  20486]
 [101824 247391  19548]]"
26,26,1,1.0,1.0,1.0,864691134282775283,2,"[[ 92574 255351  20402]
 [ 92241 255519  20432]]",5600,125,0.5,good,"[[ 92707 255333  20403]
 [ 92116 255557  20431]]"
27,27,1,1.0,1.0,1.0,864691135467651075,2,"[[114532 262237  21456]
 [117327 266080  21565]]",5600,125,0.5,good,"[[114475 262084  21453]
 [117307 266092  21563]]"
28,28,1,0.0,0.0,,864691135496889954,2,"[[121332 261988  21081]
 [124363 266598  21292]]",5600,125,0.5,good,"[[121957 263526  21118]
 [124447 265936  21073]
 [122005 262287  21072]]"
29,29,1,0.6666666666666666,1.0,0.8,864691135418167764,2,"[[124076 245911  20653]
 [131332 245544  20993]]",5600,125,0.5,good,"[[128546 244280  20595]
 [131439 245583  20985]
 [124062 245896  20654]]"
30,30,1,0.0,0.0,,864691135091308176,2,"[[ 91990 254558  18886]
 [ 89162 254502  18809]]",5600,125,0.5,good,"[[ 90192 254538  18836]
 [ 91824 255081  18885]]"
31,31,1,0.5,0.3333333333333333,0.4,864691136086187907,3,"[[ 91998 257005  18030]
 [ 92047 257166  17971]
 [ 95465 260435  18180]]",5600,125,0.5,good,"[[ 91496 257228  17983]
 [ 95385 260451  18178]]"
